k,space,silhouette,db,ch
2,384-D,0.0531239799330726,3.5191076501162684,906.1630239214951
2,PCA 3-D,0.371316905440062,1.221632136553288,7026.135246042017
2,t-SNE 3-D,0.2535439729690552,1.6015344292453997,4869.29541015625
3,384-D,0.062778169425012,3.2330775747729574,864.6305366688683
3,PCA 3-D,0.4171432039657511,0.8582621822905239,10220.503560502193
3,t-SNE 3-D,0.2743976414203644,1.233525342577807,5518.2314453125
4,384-D,0.06558024789739231,3.3789142381041524,759.641754204205
4,PCA 3-D,0.45309520070301623,0.7560148095306027,13421.949763849512
4,t-SNE 3-D,0.2944817543029785,1.0428216745609937,5979.193359375
5,384-D,0.07627228157828167,3.3092134102200155,705.1725398103555
5,PCA 3-D,0.39989656091740106,0.9232962805939764,13327.941139477987
5,t-SNE 3-D,0.29893437027931213,1.064753629578132,6012.65966796875
6,384-D,0.0822086099028716,3.2915899115443072,648.8309783548566
6,PCA 3-D,0.3906390687736151,0.947805314441475,13096.76501319
6,t-SNE 3-D,0.3099400997161865,1.0193906078376294,6208.06689453125
7,384-D,0.08830436118993207,3.256139145952205,607.3938260960233
7,PCA 3-D,0.38012204287682083,0.9663200474482139,12690.858230441103
7,t-SNE 3-D,0.3006003499031067,1.0181650528730286,6061.95166015625
8,384-D,0.09122689416575662,3.2052073134058303,568.1254273886294
8,PCA 3-D,0.37818803719964855,0.9730842286444791,12287.023195818936
8,t-SNE 3-D,0.2997525632381439,1.0025101123526456,5988.74560546875
9,384-D,0.0951623403517598,3.327003215652958,529.4612510899666
9,PCA 3-D,0.37558855179611517,0.9341163922381723,11930.912148217982
9,t-SNE 3-D,0.2910962700843811,1.030278071303269,5785.26171875
10,384-D,0.08624817430111371,3.348927725936342,497.49382680072046
10,PCA 3-D,0.36353204211974843,0.9775152072828576,11495.097532933018
10,t-SNE 3-D,0.287562757730484,1.0806103987951723,5607.20068359375
